Test ID,Test Name,Algorithm Name,numberOfPointsPerSegment,Catch Polynomial Degree,Time Interval[Sec],Segment Size[Sec],Tmin Factor,Number Of Input Points,Number Of Iterations,TOLd[Km],TOLt[Sec],Run Time[Sec],Run Time[Micro],Avg Run Time[Micro],Min Run Time[Micro],TCA Distance[Km],TCA[Sec],Real TCA Distance[Km],Real TCA[Sec],Error Time[Sec],Error Distance[Km],Number of Points Used,FullTolReached,ToldReached,ToldReached,NoRootsFound
1,,ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.022533000000000000945243883166,22533.000000000000000000000000000000,22533.000000000000000000000000000000,22533.000000000000000000000000000000,103.993426229430298235456575639546,147503.453487760911229997873306274414,104.011505254369822637272591236979,147503.385578290064586326479911804199,0.067909470846643671393394470215,0.018079024939524401816015597433,2878,0,0,0,908
2,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.044673999999999998433697356859,44674.000000000000000000000000000000,44674.000000000000000000000000000000,44674.000000000000000000000000000000,104.011505254489904359616048168391,147503.385858848079806193709373474121,104.011505254369822637272591236979,147503.385578290064586326479911804199,0.000280558015219867229461669922,0.000000000120081722343456931412,3142,18,51,51,941
3,,CATCH,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.661353999999999997427835296548,661354.000000000000000000000000000000,661354.000000000000000000000000000000,661354.000000000000000000000000000000,104.011505286731591013449360616505,147503.385862843482755124568939208984,104.011505254373147977275948505849,147503.385498290095711126923561096191,0.000364553387043997645378112793,0.000000032358443036173412110656,2881,0,0,0,0
4,,ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.024986999999999998794963929072,24987.000000000000000000000000000000,24987.000000000000000000000000000000,24987.000000000000000000000000000000,1792.348758051224194787209853529930,539996.518772077513858675956726074219,1792.333562382286572756129316985607,539996.516726932255551218986511230469,0.002045145258307456970214843750,0.015195668937622031080536544323,2878,0,0,0,629
5,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.152798999999999990384580428326,152799.000000000000000000000000000000,152799.000000000000000000000000000000,152799.000000000000000000000000000000,1792.333562382384570810245350003242,539996.516778945573605597019195556641,1792.333562382286572756129316985607,539996.516726932255551218986511230469,0.000052013318054378032684326172,0.000000000097998054116033017635,4436,58,327,327,901
6,,CATCH,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.625188999999999994727772900660,625189.000000000000000000000000000000,625189.000000000000000000000000000000,625189.000000000000000000000000000000,1792.333562367452486796537414193153,539996.516965819173492491245269775391,1792.333562382278159930137917399406,539996.516726932371966540813446044922,0.000238886801525950431823730469,0.000000014825673133600503206253,2881,0,0,0,0
7,,ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.025256000000000000671462885293,25256.000000000000000000000000000000,25256.000000000000000000000000000000,25256.000000000000000000000000000000,85.426731423900832851359155029058,406311.543999694345984607934951782227,85.421162431527307035139529034495,406311.563854388601612299680709838867,0.019854694255627691745758056641,0.005568992373525816219625994563,2878,0,0,0,581
8,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.180045000000000010587086762825,180045.000000000000000000000000000000,180045.000000000000000000000000000000,180045.000000000000000000000000000000,85.421162431509969792386982589960,406311.563853491737972944974899291992,85.421162431527307035139529034495,406311.563854388601612299680709838867,0.000000896863639354705810546875,0.000000000017337242752546444535,4756,71,375,375,888
9,,CATCH,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.615986999999999951249662899500,615987.000000000000000000000000000000,615987.000000000000000000000000000000,615987.000000000000000000000000000000,85.421162349299834204430226236582,406311.563857056840788573026657104492,85.421162431527662306507409084588,406311.563854388659819960594177246094,0.000002668180968612432479858398,0.000000082227828102077182848006,2881,0,0,0,0
10,,ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.025260000000000001202371535669,25260.000000000000000000000000000000,25260.000000000000000000000000000000,25260.000000000000000000000000000000,127.186962953645149809744907543063,551415.484504414023831486701965332031,127.165647312815679015329806134105,551415.491239301045425236225128173828,0.006734887021593749523162841797,0.021315640829470794415101408958,2878,0,0,0,581
11,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.175659000000000009578116078046,175659.000000000000000000000000000000,175659.000000000000000000000000000000,175659.000000000000000000000000000000,127.165661156987880531232804059982,551415.484511341666802763938903808594,127.165647312815679015329806134105,551415.491239301045425236225128173828,0.006727959378622472286224365234,0.000013844172201515902997925878,4716,72,378,378,887
12,,CATCH,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.623121999999999953701035337872,623122.000000000000000000000000000000,623122.000000000000000000000000000000,623122.000000000000000000000000000000,127.165647281093399101337126921862,551415.491225964622572064399719238281,127.165647312699491067178314551711,551415.491233628476038575172424316406,0.000007663853466510772705078125,0.000000031606091965841187629849,2881,0,0,0,0
13,,ANCAS,16,15,604800.000000000000000000000000000000,2961.963479062980695744045078754425,2,3061,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.026810000000000000497379915032,26810.000000000000000000000000000000,26810.000000000000000000000000000000,26810.000000000000000000000000000000,287.978026203667297977517591789365,179420.016548279556445777416229248047,288.058672206624521550111239776015,179419.820369182416470721364021301270,0.196179097139975056052207946777,0.080646002957223572593647986650,3058,0,0,0,623
14,,SBO ANCAS,16,15,604800.000000000000000000000000000000,2961.963479062980695744045078754425,2,3061,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.183339000000000001966427021216,183339.000000000000000000000000000000,183339.000000000000000000000000000000,183339.000000000000000000000000000000,288.058672206714447838749038055539,179419.820389740722021088004112243652,288.058672206624521550111239776015,179419.820369182416470721364021301270,0.000020558305550366640090942383,0.000000000089926288637798279524,4962,71,395,395,948
15,,CATCH,16,15,604800.000000000000000000000000000000,2961.963479062980695744045078754425,2,3061,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.669030000000000013571366253018,669030.000000000000000000000000000000,669030.000000000000000000000000000000,669030.000000000000000000000000000000,288.058672244068702639196999371052,179419.820389429107308387756347656250,288.058672206649532654409995302558,179419.820369181776186451315879821777,0.000020247331121936440467834473,0.000000037419169984787004068494,3061,0,0,0,0
16,,ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.024389999999999998486766017436,24390.000000000000000000000000000000,24390.000000000000000000000000000000,24390.000000000000000000000000000000,32319.570769045629276661202311515808,599944.060917826835066080093383789062,32319.844782145937642781063914299011,599944.057264576549641788005828857422,0.003653250285424292087554931641,0.274013100308366119861602783203,2878,0,0,0,753
17,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.119265999999999997016608688227,119266.000000000000000000000000000000,119266.000000000000000000000000000000,119266.000000000000000000000000000000,32319.844782147825753781944513320923,599944.057896587532013654708862304688,32319.844782145937642781063914299011,599944.057264576549641788005828857422,0.000632010982371866703033447266,0.000000001888111000880599021912,3814,29,206,206,930
18,,CATCH,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.658920999999999978946618739428,658921.000000000000000000000000000000,658921.000000000000000000000000000000,658921.000000000000000000000000000000,32319.844782191688864259049296379089,599944.058009569300338625907897949219,32323.290996228275616886094212532043,599971.565482574515044689178466796875,27.507473005214706063270568847656,3.446214036586752627044916152954,2881,0,0,0,0
19,,ANCAS,16,15,604800.000000000000000000000000000000,3087.498685731497971573844552040100,2,2926,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.025666999999999998843813742155,25667.000000000000000000000000000000,25667.000000000000000000000000000000,25667.000000000000000000000000000000,92.244277181567468915091012604535,574374.899934722343459725379943847656,92.225786658037364418305514845997,574375.094960905145853757858276367188,0.195026182802394032478332519531,0.018490523530104496785497758538,2923,0,0,0,588
20,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3087.498685731497971573844552040100,2,2926,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.183594000000000007188916129053,183594.000000000000000000000000000000,183594.000000000000000000000000000000,183594.000000000000000000000000000000,92.225786658064919265598291531205,574375.094962918665260076522827148438,92.225786658037364418305514845997,574375.094960905145853757858276367188,0.000002013519406318664550781250,0.000000000027554847292776685208,4844,77,384,384,897
21,,CATCH,16,15,604800.000000000000000000000000000000,3087.498685731497971573844552040100,2,2926,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.626801000000000052558846164175,626801.000000000000000000000000000000,626801.000000000000000000000000000000,626801.000000000000000000000000000000,92.225786680708779385895468294621,574375.094958414323627948760986328125,92.225786658038600762665737420321,574375.094960905262269079685211181641,0.000002490938641130924224853516,0.000000022670178623229730874300,2926,0,0,0,0
22,,ANCAS,16,15,604800.000000000000000000000000000000,3093.279240357295748253818601369858,2,2926,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.025672000000000000374811293113,25672.000000000000000000000000000000,25672.000000000000000000000000000000,25672.000000000000000000000000000000,91.899833934108357880177209153771,561525.136465251212939620018005371094,91.897296175705889709206530824304,561525.143074699677526950836181640625,0.006609448464587330818176269531,0.002537758402468170970678329468,2923,0,0,0,587
23,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3093.279240357295748253818601369858,2,2926,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.188545999999999991381116615230,188546.000000000000000000000000000000,188546.000000000000000000000000000000,188546.000000000000000000000000000000,91.897296175984564570171642117202,561525.143096713116392493247985839844,91.897296175705889709206530824304,561525.143074699677526950836181640625,0.000022013438865542411804199219,0.000000000278674860965111292899,4903,85,387,387,889
24,,CATCH,16,15,604800.000000000000000000000000000000,3093.279240357295748253818601369858,2,2926,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.626689000000000051571191761468,626689.000000000000000000000000000000,626689.000000000000000000000000000000,626689.000000000000000000000000000000,91.897296156485708706895820796490,561525.143096749088726937770843505859,91.897296175705889709206530824304,561525.143074699677526950836181640625,0.000022049411199986934661865234,0.000000019220181002310710027814,2926,0,0,0,0
25,,ANCAS,16,15,604800.000000000000000000000000000000,2920.609985648155998205766081809998,2,3106,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.026971999999999999447775067551,26972.000000000000000000000000000000,26972.000000000000000000000000000000,26972.000000000000000000000000000000,343.455701190780530396295944228768,405799.352889261033851653337478637695,343.492566013629186727484920993447,405799.318121366144623607397079467773,0.034767894889228045940399169922,0.036864822848656331188976764679,3103,0,0,0,699
26,,SBO ANCAS,16,15,604800.000000000000000000000000000000,2920.609985648155998205766081809998,2,3106,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.164775000000000004796163466381,164775.000000000000000000000000000000,164775.000000000000000000000000000000,164775.000000000000000000000000000000,343.492566013755151743680471554399,405799.318030469119548797607421875000,343.492566013629186727484920993447,405799.318121366144623607397079467773,0.000090897025074809789657592773,0.000000000125965016195550560951,4774,77,328,328,957
27,,CATCH,16,15,604800.000000000000000000000000000000,2920.609985648155998205766081809998,2,3106,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.674486999999999947696949220699,674487.000000000000000000000000000000,674487.000000000000000000000000000000,674487.000000000000000000000000000000,343.492566011899270961293950676918,405799.318032722279895097017288208008,343.492566013629186727484920993447,405799.318121366144623607397079467773,0.000088643864728510379791259766,0.000000001729915766190970316529,3106,0,0,0,0
28,,ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.024358000000000001178390718337,24358.000000000000000000000000000000,24358.000000000000000000000000000000,24358.000000000000000000000000000000,35374.739420503312430810183286666870,587402.507387298392131924629211425781,35375.158299563372565899044275283813,587402.501890838495455682277679443359,0.005496459896676242351531982422,0.418879060060135088860988616943,2878,0,0,0,755
29,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.116976999999999997648103544634,116977.000000000000000000000000000000,116977.000000000000000000000000000000,116977.000000000000000000000000000000,35375.158299563991022296249866485596,587402.502242850605398416519165039062,35375.158299563372565899044275283813,587402.501890838495455682277679443359,0.000352012109942734241485595703,0.000000000618456397205591201782,3799,33,203,203,926
30,,CATCH,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.660063999999999984069631864259,660064.000000000000000000000000000000,660064.000000000000000000000000000000,660064.000000000000000000000000000000,35375.158299567214271519333124160767,587402.502329994225874543190002441406,35375.158299563372565899044275283813,587402.501830839202739298343658447266,0.000499155023135244846343994141,0.000000003841705620288848876953,2881,0,0,0,0
31,,ANCAS,16,15,604800.000000000000000000000000000000,3009.074683846135030762525275349617,2,3001,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.026263999999999999152011653791,26264.000000000000000000000000000000,26264.000000000000000000000000000000,26264.000000000000000000000000000000,150.829903411645062760726432316005,374828.444348178163636475801467895508,150.855061156761706797624356113374,374828.281670471187680959701538085938,0.162677706975955516099929809570,0.025157745116644036897923797369,2998,0,0,0,608
32,,SBO ANCAS,16,15,604800.000000000000000000000000000000,3009.074683846135030762525275349617,2,3001,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.183470999999999995200283819941,183471.000000000000000000000000000000,183471.000000000000000000000000000000,183471.000000000000000000000000000000,150.855061156772393360370188020170,374828.281669574324041604995727539062,150.855061156761706797624356113374,374828.281670471187680959701538085938,0.000000896863639354705810546875,0.000000000010686562745831906796,4908,78,388,388,921
33,,CATCH,16,15,604800.000000000000000000000000000000,3009.074683846135030762525275349617,2,3001,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.644785000000000052544635309459,644785.000000000000000000000000000000,644785.000000000000000000000000000000,644785.000000000000000000000000000000,150.855061136287559975244221277535,374828.281669152667745947837829589844,150.855061156761706797624356113374,374828.281670471187680959701538085938,0.000001318519935011863708496094,0.000000020474146822380134835839,3001,0,0,0,0
34,,ANCAS,16,15,604800.000000000000000000000000000000,3141.926172677033264335477724671364,2,2881,1,0.000000010000000000000000209226,0.000100000000000000004792173602,0.025207000000000000239364084109,25207.000000000000000000000000000000,25207.000000000000000000000000000000,25207.000000000000000000000000000000,485.767608719483405366190709173679,386440.748597892001271247863769531250,485.827576568822053104668157175183,386440.651400579547043889760971069336,0.097197312454227358102798461914,0.059967849338647738477448001504,2878,0,0,0,593
